"","home","home_scores","home_total_shots","home_shots_on_target","home_total_passes","home_long_passes","home_total_dribbles","home_successful_dribbles","home_total_tackles","home_successful_tackles","home_total_interceptions","home_total_clearances","home_total_blocks","home_total_offsides","home_total_fouls","home_total_aerial_duels","home_total_touches","home_total_loss_of_possession","home_turnover","home_total_errors","home_total_saves","home_total_claims","home_total_punches","away","away_scores","away_total_shots","away_shots_on_target","away_total_passes","away_long_passes","away_total_dribbles","away_successful_dribbles","away_total_tackles","away_successful_tackles","away_total_interceptions","away_total_clearances","away_total_blocks","away_total_offsides","away_total_fouls","away_total_aerial_duels","away_total_touches","away_total_loss_of_possession","away_turnover","away_total_errors","away_total_saves","away_total_claims","away_total_punches","result"
"416","Sunderland",2,7,1,350,52,20,11,46,29,13,22,21,1,16,12,524,32,10,1,4,0,0,"Tottenham",2,17,6,593,52,26,17,41,30,19,18,10,1,14,7,771,32,8,0,0,0,0,"0"
"417","West Bromwich Albion",0,13,3,431,80,7,4,31,20,19,10,12,1,12,20,580,22,9,2,3,1,0,"Everton",2,12,5,550,73,18,11,18,14,9,43,15,3,10,16,723,23,9,0,3,5,0,"-1"
"418","Liverpool",0,18,1,741,69,10,2,13,12,8,25,10,3,9,23,923,21,14,0,0,1,1,"Aston Villa",1,5,1,243,72,7,1,15,13,16,45,17,1,10,11,424,15,8,0,1,1,1,"-1"
"419","Manchester United",4,18,9,825,69,12,6,25,18,14,12,11,0,11,14,950,17,9,2,1,0,0,"Queens Park Rangers",0,9,2,364,56,18,7,17,11,19,21,7,2,8,7,502,17,8,0,5,0,0,"1"
"420","Hull",2,11,6,332,66,14,8,50,34,29,50,22,1,12,17,548,24,12,0,3,1,2,"West Ham",2,17,5,478,55,35,16,24,16,7,25,9,1,7,18,661,26,8,1,4,0,1,"0"
"421","QPR",2,21,5,404,67,26,15,25,19,8,33,5,0,6,23,598,29,11,2,2,2,0,"Stoke",2,8,4,375,73,16,6,44,29,12,38,18,1,15,23,548,19,8,0,3,1,0,"0"
"422","Swansea",0,5,2,418,68,21,7,8,6,16,42,14,0,11,11,577,13,8,0,3,7,0,"Southampton",1,11,4,529,55,9,2,23,16,17,13,12,2,15,12,665,15,11,0,1,1,0,"-1"
"423","Newcastle United",2,25,7,577,54,18,9,17,14,12,19,17,1,11,28,735,20,10,2,1,1,0,"Hull",2,10,3,342,62,9,3,25,16,23,52,23,5,11,25,509,10,2,0,5,4,1,"0"
"424","Aston Villa",0,7,2,314,58,11,6,21,13,10,16,16,1,11,3,435,18,8,0,1,0,0,"Arsenal",3,9,3,815,52,19,8,20,14,22,17,15,2,9,11,958,16,12,2,2,0,0,"-1"
"425","Burnley",0,16,6,370,92,10,7,30,19,13,20,6,2,14,22,524,19,10,0,6,1,0,"Sunderland",0,14,6,482,75,22,11,18,11,15,37,12,1,14,19,658,22,13,0,6,3,1,"0"
"426","West Ham",3,13,7,276,50,16,4,19,15,13,34,13,1,16,12,480,28,18,0,5,0,2,"Liverpool",1,11,5,469,70,9,4,22,18,12,37,8,0,11,16,669,23,10,2,4,2,1,"1"
"427","Tottenham",0,7,1,512,88,23,15,21,13,18,26,10,0,12,15,691,21,9,0,3,1,1,"West Bromwich Albion",1,10,4,320,77,14,8,32,17,12,35,28,2,7,9,477,18,9,0,1,2,1,"-1"
"428","Leicester",5,15,5,389,72,19,6,25,16,21,33,15,4,11,23,560,20,13,0,2,0,0,"Man Utd",3,16,5,528,72,17,9,24,18,31,44,14,4,9,18,722,25,15,2,0,1,0,"1"
"429","Man City",1,16,4,562,45,27,12,48,32,13,15,9,1,16,19,738,20,10,0,1,0,0,"Chelsea",1,6,2,409,45,30,16,33,21,9,38,15,1,12,11,583,26,8,1,3,2,0,"0"
"430","Everton",2,17,6,760,47,19,10,27,18,5,35,9,2,8,11,922,24,12,3,0,2,0,"Crystal Palace",3,10,3,234,67,23,9,29,19,24,37,16,1,13,9,408,17,10,0,4,1,0,"-1"
"431","Liverpool",1,24,8,418,43,23,11,37,27,10,24,14,2,8,7,627,20,11,0,4,0,0,"Everton",1,11,5,499,71,21,10,31,20,18,22,18,2,9,7,703,25,6,1,7,3,0,"0"
"432","Man Utd",2,8,3,504,72,14,8,25,20,12,51,19,2,10,11,675,13,7,1,3,2,0,"West Ham",1,13,4,351,50,19,5,18,10,11,24,10,4,12,21,509,21,11,0,1,0,2,"1"
"433","Southampton",2,19,9,483,76,14,8,29,20,15,16,12,4,12,30,636,17,8,0,1,0,0,"Queens Park Rangers",1,10,2,401,70,20,9,21,13,11,35,16,1,11,18,564,17,6,0,7,1,1,"1"
"434","Sunderland",0,15,3,377,56,21,10,25,16,14,13,3,2,13,9,514,15,5,0,1,1,0,"Swansea",0,7,1,394,58,16,9,28,18,19,33,14,2,15,12,562,25,14,0,3,2,1,"0"
"435","Chelsea",3,17,8,701,70,10,5,15,5,11,23,8,5,11,17,830,12,7,0,1,2,0,"Aston Villa",0,7,1,416,54,11,10,15,10,10,27,11,0,9,14,536,14,9,0,4,2,2,"1"
"436","Crystal Palace",2,16,6,290,61,23,9,26,16,17,28,16,1,14,28,456,17,9,2,1,2,2,"Leicester",0,7,1,457,72,22,10,29,20,17,33,11,0,9,23,613,13,5,0,4,1,0,"1"
"437","Hull",2,10,5,434,52,16,10,35,20,21,29,17,0,10,16,591,14,6,0,2,0,0,"Manchester City",4,21,6,664,45,23,15,21,11,22,22,9,0,6,10,844,26,13,0,4,3,1,"-1"
"438","Arsenal",1,16,6,618,41,32,16,24,17,19,11,5,3,7,15,806,17,9,1,4,1,0,"Tottenham",1,6,4,279,48,20,7,39,23,21,44,23,2,16,9,472,14,5,0,5,3,2,"0"
"439","West Brom",4,20,6,619,62,23,14,13,10,21,25,13,2,7,19,790,11,10,0,2,1,0,"Burnley",0,10,2,359,67,8,3,22,8,8,49,23,2,9,20,510,14,8,0,2,0,0,"1"
"440","Stoke",1,12,3,344,55,17,6,32,22,10,39,20,4,20,26,522,31,17,0,1,2,0,"Newcastle",0,16,1,422,59,30,10,27,21,11,22,16,0,15,14,590,11,7,1,2,2,0,"1"
"441","Hull",2,15,2,519,80,15,2,33,21,23,51,18,0,6,30,700,16,4,0,1,1,1,"Crystal Palace",0,11,2,351,64,36,12,22,20,15,26,12,0,14,20,516,17,15,0,0,2,0,"1"
"442","Leicester",2,15,6,426,86,38,16,22,14,26,41,19,1,16,26,635,9,3,0,2,2,0,"Burnley",2,10,4,367,77,16,8,38,22,18,39,17,1,12,35,544,16,8,0,4,1,0,"0"
"443","Liverpool",2,19,7,452,61,22,10,20,16,15,33,10,3,12,13,690,35,17,1,3,0,2,"West Bromwich Albion",1,8,4,371,71,9,4,38,28,14,26,15,2,15,12,574,30,17,0,5,2,0,"1"
"444","Sunderland",3,8,3,285,53,16,11,38,28,19,18,11,3,10,18,448,26,11,1,4,1,0,"Stoke",1,11,5,458,56,21,10,31,20,13,25,11,2,17,22,620,27,7,0,0,2,0,"1"
"445","Swansea",2,11,5,627,59,19,8,23,14,21,26,8,3,11,15,785,29,15,1,2,1,1,"Newcastle United",2,9,4,347,64,18,9,33,25,24,12,16,3,15,13,503,15,8,1,3,0,1,"0"
"446","Aston Villa",0,6,1,363,47,24,15,31,24,23,37,27,1,4,9,551,19,11,0,5,1,0,"Man City",2,27,7,777,41,12,7,31,16,17,6,10,3,6,15,933,29,9,1,1,1,0,"-1"
"447","Man Utd",2,15,4,441,66,23,12,21,15,24,31,15,1,18,7,616,15,10,0,4,1,0,"Everton",1,10,6,474,58,14,6,25,13,11,32,14,3,11,13,622,20,13,0,2,1,1,"1"
"448","Tottenham",1,9,4,360,62,23,9,21,20,23,33,12,6,15,16,558,31,10,2,3,1,0,"Southampton",0,7,3,438,74,6,1,42,33,8,33,21,2,9,10,610,33,15,0,2,1,0,"1"
"449","Chelsea",2,5,3,441,73,23,13,56,29,12,29,14,3,14,23,607,26,9,0,0,1,0,"Arsenal",0,10,0,505,45,50,27,38,25,17,29,11,0,10,11,706,29,22,0,2,1,0,"1"
"450","West Ham",2,11,3,402,73,19,5,30,23,14,32,13,4,10,11,585,27,17,0,3,0,0,"Queens Park Rangers",0,11,3,431,68,20,7,28,23,15,49,14,2,11,20,633,24,13,0,2,5,0,"1"
"451","Manchester City",4,20,12,618,54,20,15,40,20,13,17,21,3,11,6,778,22,5,1,6,0,1,"Tottenham",1,19,7,377,41,35,20,34,19,22,18,15,2,9,6,562,20,11,0,8,2,0,"1"
"452","Newcastle United",1,19,6,379,76,19,11,26,21,24,27,17,2,13,28,570,23,12,0,2,3,0,"Leicester",0,7,2,374,73,15,5,30,19,15,37,18,1,15,18,544,26,15,2,5,0,0,"1"
"453","Burnley",1,17,3,364,77,18,10,21,13,15,32,22,2,3,13,552,24,15,0,2,2,0,"West Ham",3,22,6,425,75,16,8,27,17,16,60,15,1,10,25,642,21,15,1,2,2,0,"-1"
"454","Crystal Palace",1,7,4,288,49,21,9,30,15,18,23,9,2,13,13,435,26,19,0,2,0,0,"Chelsea",2,14,5,757,43,21,15,26,17,10,25,10,0,7,10,893,20,11,1,3,2,1,"-1"
"455","Everton",3,15,6,647,66,7,4,17,13,10,33,15,2,11,15,794,24,14,0,2,0,3,"Aston Villa",0,10,2,398,60,8,4,17,13,15,24,16,1,16,16,546,22,12,2,3,0,0,"1"
"456","Southampton",8,21,10,472,67,14,6,24,20,16,32,15,3,11,9,639,16,11,0,2,1,0,"Sunderland",0,16,1,428,73,13,4,16,10,11,25,18,0,8,21,583,26,13,2,4,2,0,"1"
"457","Arsenal",2,25,9,698,25,39,19,26,21,21,5,10,0,9,15,880,26,14,1,2,0,0,"Hull",2,4,4,375,66,20,5,46,27,16,38,19,0,13,16,544,22,11,0,7,0,1,"0"
"458","QPR",2,17,5,336,90,15,9,35,22,14,27,17,1,10,21,569,34,14,1,3,1,0,"Liverpool",3,16,4,454,67,21,13,35,26,11,58,8,2,15,21,685,30,15,3,4,0,1,"-1"
"459","Stoke",2,17,3,358,55,22,13,34,23,17,24,12,0,17,18,540,30,14,0,3,2,0,"Swansea",1,13,5,483,57,20,11,38,25,11,27,15,0,7,16,650,27,12,0,1,2,0,"1"
"460","West Bromwich Albion",2,8,2,359,72,13,4,20,13,17,55,22,0,6,3,532,19,7,1,5,5,2,"Manchester United",2,22,7,574,77,14,7,23,19,14,28,9,1,8,14,758,22,13,0,0,0,0,"0"
"461","West Ham",2,12,4,239,70,16,8,30,16,16,32,21,3,12,16,406,20,7,0,4,4,0,"Man City",1,21,5,560,64,19,14,25,17,5,36,12,2,14,27,733,24,12,1,2,1,2,"1"
"462","West Bromwich Albion",2,17,4,560,53,3,1,21,14,16,28,8,1,14,23,733,33,14,0,4,0,0,"Crystal Palace",2,8,6,258,69,19,7,21,20,16,35,20,4,8,19,416,15,12,1,2,1,0,"0"
"463","Liverpool",0,17,4,535,53,34,20,29,21,5,19,8,1,12,13,773,33,21,0,3,0,0,"Hull",0,6,3,288,73,23,8,44,24,26,47,21,1,17,15,506,26,16,0,3,1,2,"0"
"464","Southampton",1,20,2,561,59,12,6,30,21,14,13,11,1,10,15,715,32,17,0,1,2,0,"Stoke",0,8,1,351,59,22,9,27,21,14,19,19,3,12,28,500,21,11,0,1,2,0,"1"
"465","Sunderland",0,11,3,401,71,28,14,33,21,14,19,9,2,11,15,572,35,15,2,3,2,1,"Arsenal",2,15,5,539,64,21,12,45,31,23,25,13,0,9,16,726,26,13,1,3,0,0,"-1"
"466","Swansea",2,7,3,543,53,16,5,24,15,17,23,14,1,7,15,694,18,11,1,4,1,1,"Leicester",0,9,4,554,59,18,9,22,17,23,19,11,1,10,17,702,17,9,1,1,1,0,"1"
"467","Tottenham",1,18,2,556,75,27,9,32,26,11,17,10,1,9,13,746,35,21,1,0,1,1,"Newcastle United",2,8,2,277,67,20,6,38,29,26,41,22,2,12,17,491,32,18,1,1,3,0,"-1"
"468","Burnley",1,14,3,358,69,14,9,33,18,13,24,14,2,12,14,538,27,12,1,3,0,1,"Everton",3,15,6,627,83,24,15,27,18,13,43,18,3,7,16,817,23,11,2,2,0,2,"-1"
"469","Man Utd",1,19,7,439,65,21,5,31,16,12,25,10,0,13,12,605,15,9,2,3,2,0,"Chelsea",1,9,4,425,50,24,15,26,21,6,26,12,2,14,20,575,18,8,0,6,4,1,"0"
"470","Queens Park Rangers",2,11,4,320,75,8,4,26,19,16,39,19,2,11,22,483,21,12,0,6,1,1,"Aston Villa",0,15,6,575,85,13,7,16,12,12,34,10,5,14,37,760,32,18,1,2,4,1,"1"
"471","Newcastle United",1,14,3,307,65,23,5,34,27,14,33,10,0,13,17,529,26,13,0,3,0,0,"Liverpool",0,6,3,583,53,18,7,34,29,8,25,18,7,8,17,793,33,15,4,1,2,1,"1"
"472","Stoke",2,21,6,425,69,40,24,19,17,16,22,11,0,14,34,642,35,16,0,0,2,0,"West Ham",2,10,2,307,64,7,2,58,34,11,42,15,2,13,27,481,30,17,1,4,0,0,"0"
"473","Leicester",0,15,5,451,81,22,12,26,21,19,19,22,4,5,29,650,32,16,0,3,0,0,"West Bromwich Albion",1,8,3,370,87,9,5,35,23,24,55,20,6,12,19,570,26,7,1,5,1,0,"-1"
"474","Everton",0,17,3,606,59,36,17,28,16,11,14,7,0,10,11,766,15,8,0,1,0,0,"Swansea",0,8,1,306,59,19,12,37,20,18,36,17,1,15,6,469,20,10,0,3,2,1,"0"
"475","Hull",0,8,1,473,84,22,10,17,13,13,26,10,1,6,14,631,32,12,1,2,0,0,"Southampton",1,10,3,544,87,6,4,39,29,14,23,13,1,9,20,683,24,13,0,1,0,0,"-1"
"476","Arsenal",3,32,12,630,36,33,21,15,10,14,17,13,2,5,14,847,23,11,1,2,2,0,"Burnley",0,6,2,319,75,8,5,42,21,20,59,29,4,9,19,504,19,11,0,8,1,0,"1"
"477","Chelsea",2,18,8,576,54,25,10,37,27,7,23,13,2,8,18,755,30,9,1,0,1,1,"QPR",1,7,1,316,75,23,10,44,34,14,40,15,0,12,24,506,27,9,1,6,2,1,"1"
"478","Man City",1,17,6,482,46,20,11,34,19,11,17,16,3,15,15,646,24,6,0,2,2,0,"Man Utd",0,9,2,456,75,25,15,35,24,17,29,16,3,9,11,619,17,6,0,5,1,0,"1"
"479","Aston Villa",1,12,1,339,76,9,2,26,10,5,38,16,1,13,27,488,21,9,1,5,3,0,"Tottenham",2,18,7,510,66,21,16,21,19,10,35,7,1,11,17,680,16,11,0,0,2,1,"-1"
"480","Crystal Palace",1,9,1,412,66,41,13,17,15,17,18,7,0,12,28,602,34,16,1,4,0,0,"Sunderland",3,9,7,376,73,12,2,53,40,18,48,15,0,19,27,578,31,24,0,1,4,0,"-1"
"481","Liverpool",1,12,4,524,69,27,13,29,16,15,29,19,6,9,14,749,22,11,4,3,0,1,"Chelsea",2,15,5,378,54,23,13,35,22,6,45,16,1,12,9,586,15,6,0,3,3,0,"-1"
"482","Manchester United",1,23,5,667,61,30,12,19,16,10,29,9,0,8,20,840,21,10,1,1,0,0,"Crystal Palace",0,6,1,260,71,16,3,38,26,6,31,27,0,12,19,413,14,10,1,3,3,0,"1"
"483","Burnley",1,14,3,335,79,21,8,21,12,12,32,12,2,17,23,489,18,11,1,1,1,0,"Hull",0,12,1,384,74,14,9,24,16,10,53,16,2,17,41,556,25,15,1,2,1,1,"1"
"484","Southampton",2,18,6,579,78,17,9,24,16,10,20,14,6,10,16,752,23,11,0,0,2,0,"Leicester",0,5,0,325,66,16,8,28,19,13,42,27,2,12,16,496,20,11,0,4,0,1,"1"
"485","West Ham",0,21,5,431,68,15,5,19,13,14,40,8,5,9,23,628,19,13,1,4,1,0,"Aston Villa",0,12,4,335,71,8,6,21,16,17,54,27,1,10,9,521,18,7,0,5,5,2,"0"
"486","Queens Park Rangers",2,17,4,352,59,19,12,33,21,18,51,19,3,9,29,561,16,9,2,3,1,0,"Manchester City",2,25,7,507,70,25,12,26,14,5,36,10,0,10,27,693,19,8,1,3,3,0,"0"
"487","Sunderland",1,10,3,373,67,16,8,35,18,15,13,13,2,12,17,524,14,10,0,6,1,0,"Everton",1,16,7,538,62,33,17,18,10,17,37,18,1,13,28,709,18,13,1,1,2,1,"0"
"488","Tottenham",1,14,4,431,57,17,10,36,27,18,25,11,1,20,20,610,38,17,2,2,0,0,"Stoke",2,11,4,280,52,23,9,35,25,10,36,15,2,13,24,460,32,17,0,3,0,0,"-1"
"489","West Bromwich Albion",0,10,2,524,57,16,11,38,25,13,28,17,1,12,23,687,35,14,1,1,1,0,"Newcastle United",2,8,3,373,63,27,13,36,25,19,33,13,1,6,17,560,28,16,1,2,2,1,"-1"
"490","Swansea",2,11,5,435,49,21,11,29,15,15,35,14,4,10,15,602,14,8,1,3,3,0,"Arsenal",1,12,4,462,39,24,14,27,16,19,19,7,0,16,14,624,17,11,1,3,0,0,"1"
"491","Chelsea",2,21,8,744,57,18,9,15,9,4,10,4,5,7,9,882,17,9,0,1,1,0,"West Bromwich Albion",0,5,1,270,68,11,6,26,17,14,31,21,2,9,9,410,17,10,0,6,2,0,"1"
"492","Everton",2,14,4,485,72,17,6,28,13,5,62,19,3,10,16,664,17,6,1,2,7,2,"West Ham",1,14,3,340,69,23,15,23,17,12,15,11,1,13,32,503,15,8,0,2,0,0,"1"
"493","Leicester",0,13,4,260,63,22,8,25,18,10,39,12,0,18,24,429,18,12,0,5,0,0,"Sunderland",0,11,5,396,77,14,7,25,17,8,20,13,5,11,21,549,27,15,0,4,2,0,"0"
"494","Man City",2,23,10,665,38,30,16,28,16,18,14,8,0,13,7,830,22,8,0,2,0,2,"Swansea",1,8,3,453,45,19,12,41,25,24,34,31,2,9,11,644,25,16,0,8,3,0,"1"
"495","Newcastle",1,14,6,354,63,28,13,17,13,21,27,13,3,12,20,566,21,9,1,4,3,0,"QPR",0,13,4,319,68,8,4,38,25,7,64,16,3,15,26,509,14,4,0,5,3,1,"1"
"496","Stoke",1,25,3,565,71,22,14,17,9,10,20,8,2,10,44,767,35,23,1,2,0,0,"Burnley",2,5,4,230,81,14,8,32,18,24,70,27,0,9,33,412,13,10,2,3,2,2,"-1"
"497","Arsenal",1,24,9,490,42,28,11,29,19,6,10,18,1,12,10,650,19,7,1,1,1,1,"Manchester United",2,12,2,317,81,21,10,38,27,10,45,19,4,8,14,505,13,3,1,8,1,1,"-1"
"498","Crystal Palace",3,15,5,291,59,14,7,22,17,12,25,8,2,21,19,470,16,11,1,0,3,1,"Liverpool",1,12,1,527,50,14,5,17,10,13,45,14,1,10,24,730,20,11,2,2,2,0,"1"
"499","Hull",1,10,2,220,62,12,5,32,20,20,48,20,4,15,21,419,20,10,0,4,0,0,"Tottenham",2,23,6,613,49,26,12,19,14,8,14,14,1,9,12,778,17,9,1,1,0,0,"-1"
"500","Aston Villa",1,7,1,299,63,3,1,17,13,7,44,24,1,15,18,442,17,8,0,3,5,0,"Southampton",1,16,4,531,65,12,4,11,10,20,19,14,2,17,22,693,21,14,1,0,2,0,"0"
"501","West Bromwich Albion",0,8,1,474,92,9,3,28,15,11,24,14,4,9,23,616,17,11,3,4,1,1,"Arsenal",1,17,5,507,62,23,13,13,10,24,35,21,1,10,26,689,17,9,0,1,2,1,"-1"
"502","West Ham",1,12,3,367,68,7,1,24,19,13,44,8,4,9,29,532,22,6,0,1,1,0,"Newcastle United",0,7,1,414,74,18,5,22,21,16,28,15,2,16,14,586,25,15,0,2,2,0,"1"
"503","Swansea",1,18,4,538,47,31,12,26,16,23,27,15,0,6,21,746,28,21,1,4,2,0,"Crystal Palace",1,11,5,302,63,24,10,36,24,15,31,15,1,12,20,477,23,18,2,3,2,0,"0"
"504","Burnley",1,11,4,433,85,20,8,24,19,10,23,22,1,8,19,601,18,14,0,6,2,2,"Aston Villa",1,18,7,496,97,10,5,22,14,12,39,14,2,8,22,664,21,6,0,3,1,1,"0"
"505","Liverpool",1,16,3,444,64,16,9,27,21,13,36,12,0,11,25,651,26,15,0,3,1,1,"Stoke",0,13,4,483,73,17,6,26,17,12,34,15,1,9,23,691,29,17,2,2,1,0,"1"
"506","Manchester United",3,15,7,807,72,18,8,21,14,13,16,3,5,12,13,945,12,3,0,2,0,0,"Hull",0,4,2,247,48,16,7,26,18,18,33,14,2,12,11,394,15,6,0,2,0,2,"1"
"507","Queens Park Rangers",3,33,6,390,80,15,12,29,22,10,60,16,3,8,37,607,22,10,0,2,1,3,"Leicester",2,20,5,268,67,22,7,27,15,24,50,27,6,17,30,481,16,7,0,3,0,1,"1"
"508","Sunderland",0,12,3,308,51,30,15,32,22,21,20,14,0,13,7,494,24,11,0,6,2,0,"Chelsea",0,24,6,617,47,17,10,40,25,9,16,13,0,10,16,775,23,8,0,3,0,1,"0"
"509","Southampton",0,13,4,468,49,18,8,25,15,22,12,13,5,10,10,617,17,7,0,2,0,0,"Manchester City",3,15,6,441,68,17,10,27,19,15,31,20,0,13,14,607,20,10,0,4,1,2,"-1"
"510","Tottenham",2,13,6,384,44,21,12,39,23,23,25,15,2,15,13,554,27,10,1,4,1,0,"Everton",1,10,5,603,82,26,16,34,22,12,16,14,4,5,10,777,22,9,2,4,2,0,"1"
"511","Burnley",1,12,2,324,86,9,2,27,18,15,39,17,2,12,29,471,15,3,1,3,2,0,"Newcastle United",1,11,4,444,101,22,9,20,18,15,33,16,2,12,27,613,26,17,0,1,0,0,"0"
"512","Leicester",1,20,4,366,62,32,10,27,17,20,26,13,0,11,34,594,23,12,2,0,0,0,"Liverpool",3,12,3,435,64,17,10,39,29,13,56,26,6,10,30,679,25,13,2,3,0,0,"-1"
"513","Manchester United",2,10,3,631,65,25,12,27,18,20,19,9,1,8,18,787,22,9,0,2,0,0,"Stoke",1,5,4,351,49,20,9,37,25,11,28,12,0,13,9,506,24,17,1,1,4,1,"1"
"514","Swansea",2,19,7,510,48,33,18,18,13,17,24,10,6,8,21,690,20,12,0,1,0,1,"Queens Park Rangers",0,5,1,370,66,11,5,38,20,25,31,20,0,12,16,521,15,8,1,5,0,1,"1"
"515","Crystal Palace",0,17,5,341,82,41,11,21,15,22,30,7,3,16,23,543,25,14,1,2,1,0,"Aston Villa",1,5,3,427,87,13,6,51,40,15,54,19,2,15,21,623,21,12,0,5,2,0,"-1"
"516","West Bromwich Albion",1,22,5,487,85,20,12,14,10,12,20,20,0,11,23,647,24,11,1,4,2,1,"West Ham",2,12,6,362,80,8,4,30,18,20,65,21,3,17,30,551,18,11,0,4,0,3,"-1"
"517","Chelsea",3,12,8,380,66,31,13,29,17,20,18,15,3,9,8,551,26,9,1,2,1,0,"Tottenham",0,10,2,604,46,19,12,44,31,15,23,14,2,9,9,782,27,14,1,5,1,1,"1"
"518","Everton",1,13,5,526,59,23,10,21,16,14,31,14,1,8,28,700,27,11,1,0,3,0,"Hull",1,8,1,384,69,10,5,38,28,21,29,15,0,12,18,551,19,7,1,4,0,0,"0"
"519","Sunderland",1,8,2,417,50,28,12,30,17,17,10,7,1,9,13,532,18,10,0,0,0,0,"Manchester City",4,15,4,762,35,15,13,33,21,22,21,18,1,8,9,911,24,8,0,1,1,0,"-1"
"520","Arsenal",1,19,8,539,55,22,14,25,24,28,16,15,2,7,27,743,35,19,1,1,4,0,"Southampton",0,6,1,382,70,9,1,36,22,17,40,21,1,14,14,565,31,11,1,7,3,0,"1"
"521","Newcastle",2,10,3,314,63,21,11,33,23,21,51,18,1,8,20,518,26,10,1,7,2,3,"Chelsea",1,26,8,627,55,24,10,36,25,6,31,11,4,6,36,812,23,11,2,1,1,0,"1"
"522","Queens Park Rangers",2,11,6,403,101,20,7,21,13,16,68,11,2,12,39,604,13,7,0,3,1,2,"Burnley",0,15,3,378,95,11,8,25,18,19,41,19,2,12,29,554,15,5,0,3,1,0,"1"
"523","Stoke",3,13,4,332,58,16,14,39,20,4,25,16,3,17,22,482,21,9,1,4,2,0,"Arsenal",2,14,6,453,42,29,19,28,14,16,10,16,3,14,12,613,21,8,1,1,3,0,"1"
"524","Tottenham",0,14,3,605,63,23,6,39,29,17,43,23,1,11,29,800,23,4,0,4,2,3,"Crystal Palace",0,16,4,274,74,33,10,37,31,17,22,19,4,10,24,470,20,10,0,2,2,0,"0"
"525","Hull",0,12,2,481,92,11,2,23,17,22,21,10,2,10,16,627,21,11,0,3,0,0,"West Bromwich Albion",0,6,3,515,88,9,6,18,16,15,29,17,1,16,24,648,25,9,0,2,1,0,"0"
"526","Liverpool",0,15,2,457,36,31,17,30,24,20,32,9,1,12,16,685,20,13,0,1,1,0,"Sunderland",0,7,1,412,68,15,6,35,18,22,38,13,2,15,23,636,37,17,0,2,5,0,"0"
"527","Manchester City",1,19,3,485,37,10,8,37,22,18,27,21,2,8,14,675,23,7,0,2,3,0,"Everton",0,9,2,467,52,28,15,24,16,14,38,24,4,11,14,662,19,6,1,2,2,0,"1"
"528","West Ham",3,15,7,405,81,23,12,18,9,15,29,15,3,11,28,583,23,11,1,1,1,1,"Swansea",1,11,2,333,67,16,9,34,22,14,52,19,1,18,17,509,12,8,2,4,1,2,"1"
"529","Aston Villa",2,16,7,547,75,24,13,17,12,15,44,13,6,9,21,734,25,13,1,3,3,1,"Leicester",1,10,4,284,64,15,5,35,22,18,24,17,1,14,23,442,22,15,0,5,2,0,"1"
"530","Southampton",1,15,4,510,64,15,5,38,28,18,10,10,4,12,18,659,28,11,1,0,2,0,"Man Utd",2,3,2,478,81,19,10,32,27,21,33,6,1,9,13,644,28,7,2,3,1,0,"-1"
"531","West Bromwich Albion",1,13,5,397,49,23,9,24,19,21,22,12,1,17,9,573,22,5,0,2,2,0,"Aston Villa",0,7,2,439,76,17,5,36,27,12,33,10,2,12,18,607,20,11,1,4,4,1,"1"
"532","Sunderland",1,13,4,444,71,13,6,26,14,11,26,13,2,11,12,611,16,10,1,6,2,1,"West Ham",1,20,7,334,61,23,12,17,11,13,32,20,1,18,18,515,19,14,0,3,1,0,"0"
"533","Burnley",1,7,2,330,67,17,10,18,12,25,39,18,2,15,23,495,19,8,0,4,2,0,"Southampton",0,15,4,485,97,8,6,26,16,10,16,24,2,11,22,622,23,12,0,2,0,0,"1"
"534","Chelsea",2,12,3,538,66,28,12,28,18,11,19,12,0,13,13,686,26,10,1,0,0,1,"Hull",0,8,0,358,64,24,10,40,28,19,44,20,1,13,23,541,21,8,0,1,2,1,"1"
"535","Crystal Palace",1,11,3,316,75,21,6,32,25,13,31,20,1,12,38,484,22,14,0,2,2,0,"Stoke",1,7,3,412,68,20,7,27,21,18,44,17,0,11,32,610,31,18,0,3,3,1,"0"
"536","Leicester",0,7,1,358,80,24,12,25,15,22,15,16,2,15,17,514,16,11,0,3,0,1,"Manchester City",1,9,4,515,58,13,10,27,15,22,46,16,9,13,26,681,26,14,0,1,2,1,"-1"
"537","Arsenal",4,17,4,467,45,31,15,33,26,16,25,19,3,14,24,666,28,17,0,3,3,0,"Newcastle United",1,10,4,437,57,24,7,38,23,10,24,22,1,15,17,603,20,10,1,0,1,0,"1"
"538","Man Utd",3,11,6,514,87,20,10,52,35,20,20,20,1,13,6,721,18,5,2,8,1,0,"Liverpool",0,19,9,416,45,34,17,28,18,11,21,14,2,14,8,637,26,6,1,3,1,0,"1"
"539","Swansea",1,15,3,471,59,25,11,34,26,20,35,12,5,7,17,681,26,13,2,2,2,2,"Tottenham",2,10,4,422,50,16,8,37,26,20,33,27,0,17,21,605,35,17,0,2,0,1,"-1"
"540","Everton",3,13,5,464,68,29,14,43,31,8,35,19,4,11,15,646,18,7,0,3,3,1,"Queens Park Rangers",1,18,4,391,62,32,12,35,21,7,22,17,4,12,15,561,20,7,1,3,2,0,"1"
"541","Man City",3,15,3,740,33,14,8,32,18,9,30,9,3,17,19,902,23,8,0,1,1,2,"Crystal Palace",0,6,1,273,62,28,14,29,21,27,20,21,1,5,17,425,10,4,0,0,0,0,"1"
